id,codigo,descripcion,provincia_id
599,12,QUICACHA,41
600,13,YAUCA,41
601,01,APLAO,42
602,02,ANDAGUA,42
603,03,AYO,42
604,04,CHACHAS,42
605,05,CHILCAYMARCA,42
606,06,CHOCO,42
607,07,HUANCARQUI,42
608,08,MACHAGUAY,42
609,09,ORCOPAMPA,42
610,10,PAMPACOLCA,42
611,11,TIPAN,42
612,12,UÑON,42
613,13,URACA,42
614,14,VIRACO,42
615,01,CHIVAY,43
616,02,ACHOMA,43
617,03,CABANACONDE,43
618,04,CALLALLI,43
619,05,CAYLLOMA,43
620,06,COPORAQUE,43
621,07,HUAMBO,43
622,08,HUANCA,43
623,09,ICHUPAMPA,43
624,10,LARI,43
625,11,LLUTA,43
626,12,MACA,43
627,13,MADRIGAL,43
628,14,SAN ANTONIO DE CHUCA,43
629,15,SIBAYO,43
630,16,TAPAY,43
631,17,TISCO,43
632,18,TUTI,43
633,19,YANQUE,43
634,20,MAJES,43
635,01,CHUQUIBAMBA,44
636,02,ANDARAY,44
637,03,CAYARANI,44
638,04,CHICHAS,44
639,05,IRAY,44
640,06,RIO GRANDE,44
641,07,SALAMANCA,44
642,08,YANAQUIHUA,44
643,01,MOLLENDO,45
644,02,COCACHACRA,45
645,03,DEAN VALDIVIA,45
646,04,ISLAY,45
647,05,MEJIA,45
648,06,PUNTA DE BOMBON,45
649,01,COTAHUASI,46
650,02,ALCA,46
651,03,CHARCANA,46
652,04,HUAYNACOTAS,46
653,05,PAMPAMARCA,46
654,06,PUYCA,46
655,07,QUECHUALLA,46
656,08,SAYLA,46
657,09,TAURIA,46
658,10,TOMEPAMPA,46
659,11,TORO,46
660,01,AYACUCHO,48
661,02,ACOCRO,48
662,03,ACOS VINCHOS,48
663,04,CARMEN ALTO,48
664,05,CHIARA,48
665,06,OCROS,48
666,07,PACAYCASA,48
667,08,QUINUA,48
668,09,SAN JOSE DE TICLLAS,48
669,10,SAN JUAN BAUTISTA,48
670,11,SANTIAGO DE PISCHA,48
671,12,SOCOS,48
672,13,TAMBILLO,48
673,14,VINCHOS,48
674,15,JESUS NAZARENO,48
675,01,CANGALLO,49
676,02,CHUSCHI,49
677,03,LOS MOROCHUCOS,49
678,04,MARIA PARADO DE BELLIDO,49
679,05,PARAS,49
680,06,TOTOS,49
681,01,SANCOS,50
682,02,CARAPO,50
683,03,SACSAMARCA,50
684,04,SANTIAGO DE LUCANAMARCA,50
685,01,HUANTA,51
686,02,AYAHUANCO,51
687,03,HUAMANGUILLA,51
688,04,IGUAIN,51
689,05,LURICOCHA,51
690,06,SANTILLANA,51
691,07,SIVIA,51
692,08,LLOCHEGUA,51
693,01,SAN MIGUEL,52
694,02,ANCO,52
695,03,AYNA,52
696,04,CHILCAS,52
697,05,CHUNGUI,52
698,06,LUIS CARRANZA,52
699,07,SANTA ROSA,52
700,08,TAMBO,52
701,01,PUQUIO,53
702,02,AUCARA,53
703,03,CABANA,53
704,04,CARMEN SALCEDO,53
705,05,CHAVIÑA,53
706,06,CHIPAO,53
707,07,HUAC-HUAS,53
708,08,LARAMATE,53
709,09,LEONCIO PRADO,53
710,10,LLAUTA,53
711,11,LUCANAS,53
712,12,OCAÑA,53
713,13,OTOCA,53
714,14,SAISA,53
715,15,SAN CRISTOBAL,53
716,16,SAN JUAN,53
717,17,SAN PEDRO,53
718,18,SAN PEDRO DE PALCO,53
719,19,SANCOS,53
720,20,SANTA ANA DE HUAYCAHUACHO,53
721,21,SANTA LUCIA,53
722,01,CORACORA,54
723,02,CHUMPI,54
724,03,CORONEL CASTAÑEDA,54
725,04,PACAPAUSA,54
726,05,PULLO,54
727,06,PUYUSCA,54
728,07,SAN FRANCISCO DE RAVACAYCO,54
729,08,UPAHUACHO,54
730,01,PAUSA,55
731,02,COLTA,55
732,03,CORCULLA,55
733,04,LAMPA,55
734,05,MARCABAMBA,55
735,06,OYOLO,55
736,07,PARARCA,55
737,08,SAN JAVIER DE ALPABAMBA,55
738,09,SAN JOSE DE USHUA,55
739,10,SARA SARA,55
740,01,QUEROBAMBA,56
741,02,BELEN,56
742,03,CHALCOS,56
743,04,CHILCAYOC,56
744,05,HUACAÑA,56
745,06,MORCOLLA,56
746,07,PAICO,56
747,08,SAN PEDRO DE LARCAY,56
748,09,SAN SALVADOR DE QUIJE,56
749,10,SANTIAGO DE PAUCARAY,56
751,01,HUANCAPI,57
752,02,ALCAMENCA,57
753,03,APONGO,57
754,04,ASQUIPATA,57
755,05,CANARIA,57
756,06,CAYARA,57
757,07,COLCA,57
758,08,HUAMANQUIQUIA,57
759,09,HUANCARAYLLA,57
760,10,HUAYA,57
761,11,SARHUA,57
762,12,VILCANCHOS,57
763,01,VILCAS HUAMAN,58
764,02,ACCOMARCA,58
765,03,CARHUANCA,58
766,04,CONCEPCION,58
767,05,HUAMBALPA,58
768,06,INDEPENDENCIA,58
769,07,SAURAMA,58
770,08,VISCHONGO,58
771,01,CAJAMARCA,60
772,02,ASUNCION,60
773,03,CHETILLA,60
774,04,COSPAN,60
775,05,ENCAÑADA,60
776,06,JESUS,60
777,07,LLACANORA,60
778,08,LOS BAÑOS DEL INCA,60
779,09,MAGDALENA,60
